Item_id,Category,Item_Name,Price
165,chaat,cutlet chaat,8
166,hot beverages,masala tea,4
167,hot beverages,coffee,6
168,hot beverages,milo,8
169,hot beverages,ginger tea,3
170,hot beverages,tea,3
171,hot beverages,milk,8
172,hot beverages,horlicks,4
173,burger/pizza,burger with fries,10
174,burger/pizza,burger without fries,2
175,burger/pizza,abr veggie pizza,9
176,burger/pizza,tomato cheese toast,8
177,burger/pizza,garlic cheese toast,10
178,burger/pizza,puthina cheese toast,8
179,burger/pizza,veg.sandwich,1
180,burger/pizza,masala sandwich,8
181,burger/pizza,fries,3
182,burger/pizza,palak paneer pizza,5
183,daily special,idly podi powder,1
184,daily special,mock meat soya mysore,9
185,daily special,masala noodles,2
186,daily special,mothakam,9
187,daily special,kolukattai,9
188,daily special,rice puttu ,10
189,daily special,ragi puttu ,2
190,daily special,mock pepper soya chicken,2
191,daily special,meen hoon,8
192,daily special,boli,9
193,daily special,mee goreng,2
194,daily special,veg noodles,1
195,daily fresh,onion salad,7
196,daily fresh,mix veg salad,8
197,daily fresh,soup of the day,3
198,daily fresh,abr sp beeda,4
199,sweets,kesari,2
200,sweets,laddu,7
201,sweets,jangiri,8
202,sweets,jelabi,1
203,sweets,mysore pak,8
204,sweets,fruit burfi,3
205,sweets,chocolate burfi,6
206,sweets,pista burfi,10
207,sweets,soan papdi,1
208,sweets,athirasam,4
209,sweets,rava laddu,2
210,sweets,nei urundai,9
211,sweets,bombay halwa,8
212,sweets,orissa halwa,2
213,sweets,karachi halwa,5
214,sweets,beetroot halwa,6
215,sweets,milk kova,8
216,sweets,bathusa,2
217,sweets,milk burfi,8
218,sweets,kaju burfi,2
219,sweets,badam halwa,3
220,sweets,carrot halwa,3
221,sweets,mini jalebi(10 pcs),2
222,sweets,coconut burfi,7
223,tiitbits,mixture,5
224,tiitbits,muruku,3
225,tiitbits,viral muruku,7
226,tiitbits,kara sev,3
227,tiitbits,kara boondi,6
228,tiitbits,sweet sev,2
229,tiitbits,sweet boondi,2
230,tiitbits,ketti pakoda,3
231,tiitbits,bitter gord chips,8
232,tiitbits,ola pakoda,8
233,tiitbits,omapodi,8
234,cold beverages,watermelon juice,6
235,cold beverages,vanilla milk shake,3
236,cold beverages,mango milk shake,5
237,cold beverages,can drinks,8
238,cold beverages,jackfruit lassi,5
239,cold beverages,badam gheer,4
240,cold beverages,mango lassi,4
241,cold beverages,sweet lassi,10
242,cold beverages,salt lassi,6
243,cold beverages,rose milk,7
244,cold beverages,orange juice,10
245,cold beverages,lime juice,5
246,cold beverages,jaljeera,9
247,cold beverages,butter milk,8
248,cold beverages,apple juice,6
249,cold beverages,mixed fruit juice,9
250,cold beverages,carrot juice,4
251,cold beverages,chocolate milk shake,2
252,cold beverages,ice bended milo,10
253,cold beverages,ice coffee,10
254,cold beverages,mineral water,5
255,cold beverages,strawberry milk shake,5
256,cold beverages,choco chips milk shake,6
257,cold beverages,pineapple juice,3
258,cold beverages,tomato juice,4
259,cold beverages,abr spl cold cofffee,1
260,cold beverages,ice tea,5
261,house warming,ven pongal,6
262,house warming,vadai,10
263,house warming,chutney- coconut,5
264,house warming,chutney- onion,2
265,SUPREME SET,Mock Chicken + Potato Curry,4
266,SUPREME SET,Mee Hoon (white),8
267,SUPREME SET,Chilli Sauce,9
268,MINI MUNCH,Veg Meehoon,4
269,MINI MUNCH,Cauliflower Sambal,5
270,MINI MUNCH,Chutney - Mint,10
271,MINI MUNCH,Samosa - Small,8
272,North Indian Package,Paneer Pakoda,1
273,North Indian Package,Alu Prata,2
274,North Indian Package,Veg Pulao,5
275,North Indian Package,Shahi Paneer,6
276,North Indian Package,Nargis Kofta,10
277,North Indian Package,Boondi Raita,2
278,North Indian Package,rasamalai,6
279,North Indian Package,garden green salad,2
280,North Indian Package,fruit punch,5
281,North Indian Package,papad,2
282,North Indian Package,pickle,6
283,Deluxe Tiffin,Mini Sambar Idly (5pcs),6
284,Deluxe Tiffin,Veg.Kurma,6
285,Deluxe Tiffin,Samosa,10
286,Deluxe Tiffin,Gulab Jamun,8
287,Deluxe Tiffin,Sambar-Tiffin,6
288,TIFFIN SET,Mini Veg Uthappam,8
289,TIFFIN SET,Chutney - Onion,10
290,TIFFIN SET,Chappathi,5
291,TIFFIN SET,Mint Chutney,2
292,BIRTHDAY SPECIAL,Green Peas Pulao,7
293,BIRTHDAY SPECIAL,Butter Naan,3
294,BIRTHDAY SPECIAL,Mock Mutton Chittinadu,2
295,BIRTHDAY SPECIAL,Chilli Gobi,2
296,BIRTHDAY SPECIAL,Mixed Raitha,5
297,BIRTHDAY SPECIAL,Cutlet,9
298,BIRTHDAY SPECIAL,Appalam,6
299,THE ROYAL TREAT,Vegetable Briyani (White),1
300,THE ROYAL TREAT,Paner Butter Masala,4
301,PREMIUM PACKAGE,Mock Pepper Chicken,7
302,PREMIUM PACKAGE,Tofu Sambal,5
303,PREMIUM PACKAGE,Brinjal Pachadi,7
304,PREMIUM PACKAGE,Paruppu Payasam,10
305,PREMIUM PACKAGE,Vadai - Meals,3
306,SIMPLE SUPREME,Mock Chicken Mysore,1
307,SIMPLE SUPREME,Mango Pachadi,8
308,SIMPLE SUPREME,Semiya Pal Payasam,8
309,PARIMARAL SPECIAL,Ghee Dhal,3
310,PARIMARAL SPECIAL,Meals Sambar,10
311,PARIMARAL SPECIAL,Morru Kulambu,10
312,PARIMARAL SPECIAL,Mini Chappathi,4
313,PARIMARAL SPECIAL,Cabbage Poriyal,6
314,PARIMARAL SPECIAL,Mock Multon Mysore,5
315,THE REGULAR MEAL,Puli Kulambu,6
316,THE REGULAR MEAL,Brinjal Poriyal,6
317,OFFICE HI-TEA,Chappathi Roll,4
318,OFFICE HI-TEA,Curry Puff,9
319,BREAKFAST TREAT,Potato Masala,5
320,THE BRUNCH,Veg Bringi Rice Bath,2
321,THE BRUNCH,Onion Curd Pachadi,8
322,THE BRUNCH,Thuvaiyal - Coriander,1
